uid,用户名,性别,等级,粉丝牌,大会员,认证,关注数,粉丝数,获赞数,播放数,阅读数,总投稿数,最多投稿分区,十万粉丝
546195,老番茄,保密,6,,年度大会员,bilibili 2020百大UP主、知名UP主,1,16088701,103731960,1940552348,0,376,游戏,十万粉以上
546495,yokidou,保密,6,周报君,年度大会员,bilibili 直播高能主播,71,45242,618319,12330648,1794103,2091,游戏,以下
582661,铃椛,男,6,溪嗷,年度大会员,bilibili 直播高能主播,75,350714,1230303,35579681,17778,625,游戏,十万粉以上
585267,-纯黑-,保密,6,,年度大会员,bilibili 2020百大UP主、知名UP主,0,3355771,8366488,407400697,0,494,游戏,十万粉以上
597396,猫耳爱丽丝,保密,6,提督,无,,140,86872,472475,3877873,225872,232,游戏,以下
599126,感受不到的风吹过,保密,6,,年度大会员,,292,6720,46085,883481,43275,1104,游戏,以下
599462,龍雪舞,女,6,心星,无,,40,73740,261271,6339579,0,136,动画,以下
617285,芒果冰OL,保密,6,PSplus,年度大会员,bilibili 2018百大UP主、直播高能主播,515,2142952,256039904,14295584,96804,300,游戏,十万粉以上
679749,Diriya伯爵,保密,6,木娄座,年度大会员,,620,56337,191198,4913197,0,140,游戏,以下
692233,OtatoB土豆,保密,6,溯光,年度大会员,bilibili 知名UP主,147,398381,652491,15330202,51972,158,知识,十万粉以上
727241,路过的魔法使柚子,男,6,雨咕咕,无,,46,8578,34954,1813473,0,513,动画,以下
731209,帅比的23,保密,5,慕狸的,年度大会员,,325,807,16885,3,0,0,,以下
739320,夜游基歌,男,6,速跑,年度大会员,,70,3502,10601,662175,0,197,游戏,以下
748709,Chimera君,男,6,,无,,1,1067119,2311315,54021186,0,78,游戏,十万粉以上
755824,杨颜同学,男,6,,年度大会员,bilibili 知名游戏UP主,538,676881,7889308,54275364,682985,178,游戏,十万粉以上
777536,LexBurner,男,6,纯露人,年度大会员,bilibili 知名UP主,34,7066613,1111097121,53117484,1722681,387,动画,十万粉以上
827748,曦十三1,保密,6,米博士,年度大会员,,130,4879,1044961,42974,701,135,游戏,以下
839889,Snkled,保密,6,,无,,22,12906,25953,748495,2491,18,动画,以下
883968,暴走漫画,保密,6,,年度大会员,暴走漫画官方账号,49,6057005,1204255486,22342155,86387,215,生活,十万粉以上
917612,破折号,保密,6,,无,,330,16367,22229,2714123,9874,54,动画,以下
923711,喂狗组-楼座,保密,6,爵爵子,年度大会员,,60,25822,162057,1634518,0,166,游戏,以下
946974,影视飓风,保密,6,飓风,年度大会员,2020年度联合创作、bilibili 2020百大UP主,383,2960244,11892315,139785975,1929123,416,科技,十万粉以上
1293653,萱框框,保密,6,神月,年度大会员,bilibili 知名UP主,26,478423,435944,18123625,0,63,生活,十万粉以上
1294760,Natto,男,6,,无,,289,4512,586829,9726,0,95,游戏,以下
1299874,基王の子,保密,6,权狗,年度大会员,,199,1718,656,9991,0,5,游戏,以下
1328260,哔哩哔哩游戏中心,保密,6,,年度大会员,哔哩哔哩游戏中心官方账号,417,2915159,18939785,251899473,8282213,1204,游戏,十万粉以上
1343403,唯一指定真实机皇,保密,6,白鸡熊,年度大会员,,467,34576,56920,1294323,0,41,游戏,以下
1388308,星海天下,保密,6,奥鸽,年度大会员,,0,8939,26686,737637,29554,49,游戏,以下
1433840,vivian198808,女,6,寄信人,年度大会员,bilibili 直播高能主播,60,96683,536686,6163366,4258,171,动画,以下
1451401,带着蜗牛跑,保密,6,,无,,261,41755,37176,5538098,0,105,生活,以下
1565155,是大腿,男,6,,年度大会员,bilibili 2018百大UP主、 知名游戏UP主,155,3502288,18961269,970604834,0,1223,游戏,十万粉以上
1576121,帕里_Paryi,保密,6,,年度大会员,bilibili 知名UP主、直播签约主播,59,448349,4518534,20347742,0,215,动画,十万粉以上
1605721,允星河Yoseya,保密,6,韦娘,年度大会员,bilibili 知名UP主,250,2134528,5697858,180592687,0,113,游戏,十万粉以上
1652868,yueguouk,保密,6,,年度大会员,,10,43005,90577,6570118,0,69,游戏,以下
1720738,Lunamos,男,6,,年度大会员,bilibili 知名游戏UP主,251,116188,206689,2956050,20595,31,游戏,十万粉以上
1734087,菟籽琳,女,6,,无,bilibili 知名舞蹈UP主,93,118088,11989633,104238,0,122,舞蹈,十万粉以上
1737516,018,保密,5,多米诺,无,,37,850,87580,6126,0,5,游戏,以下
1741281,1OfHGuy落子,男,6,糖厂人,无,,138,8615,23790,1272179,0,100,游戏,以下
1773346,莴苣某人,男,6,,年度大会员,bilibili 知名游戏UP主、直播高能主播,170,426081,1172703,31616440,0,47,游戏,十万粉以上
1871001,棉花大哥哥,保密,6,吉祥草,年度大会员,bilibili 知名游戏UP主、直播高能主播,287,2190947,12728916,136726694,125116,1307,游戏,十万粉以上
1879254,帕瓦双子,保密,6,,年度大会员,,1218,72297,453888,17522188,0,1029,动画,以下
1949755,小萌才不天然,女,6,好绿啊,年度大会员,bilibili 知名舞蹈UP主、直播签约主播,832,201469,18902105,614518,0,232,舞蹈,十万粉以上
1958342,水无月菌,男,6,凹利凹,年度大会员,bilibili 2020百大UP主、知名游戏UP主、直播高能主播,91,2056743,12990677,338038476,0,186,游戏,十万粉以上
2142762,老戴在此,男,6,,年度大会员,bilibili 知名游戏UP主,300,2055275,240454206,10483357,129760,1072,游戏,十万粉以上
2192108,王思妇丶,男,6,古月宝,年度大会员,bilibili 知名UP主,89,1048536,10389214,145259504,350215,233,鬼畜,十万粉以上
2220968,Ray菌不是老黄瓜,男,6,刺儿,无,,329,78967,3338,1209081,3384,17,知识,以下
2226796,抱怨丶,男,6,下不去,年度大会员,,56,992,225586,2971,0,14,游戏,以下
2250939,茶叶不是叶茶,保密,6,,年度大会员,bilibili 直播高能主播,87,33037,82563,357661,5424,127,游戏,以下
2284412,万合天宜,保密,6,,无,万合天宜官方账号,3,883101,245162222,1155234,0,407,影视,十万粉以上
2306780,哔哩哔哩线下活动,保密,6,粉丝团,十年大会员,哔哩哔哩线下活动官方账号,108,1603332,4373728,3701038,585254,123,音乐,十万粉以上
2350559,菌烨tako,女,6,糕佬庄,年度大会员,bilibili 知名UP主,128,743568,11250984,3284254,0,15,生活,十万粉以上
2394319,花久花酒,女,6,诺瓦露,年度大会员,,613,164245,2182793,2134871,0,117,生活,十万粉以上
2678945,亮亮也是酿酿,女,6,,无,bilibili 知名萌宠UP主,38,701801,6352487,94066224,116637,111,动物圈,十万粉以上
2708891,小威廉伯爵,保密,5,,无,,158,2370,22808,813229,343,45,动画,以下
2755363,熊人族嗷非秀,男,6,,年度大会员,,568,96609,1517209,13619650,335472,413,游戏,以下
2813548,索尼柯南,保密,6,大母鹅,年度大会员,,326,49570,245602,8220540,188847,227,游戏,以下
2884629,oeasy,保密,6,小白杨,年度大会员,bilibili 知名科普UP主,591,1721093,575233,22271942,359975,124,知识,十万粉以上
2911655,月光蟑螂,保密,5,,年度大会员,,180,29630,53208,0,0,0,,以下
2936575,StarryNight24,男,6,,年度大会员,,71,1442,5055,469001,0,20,游戏,以下
2989565,画画峰,保密,6,,年度大会员,bilibili 知名动漫UP主,141,635751,4942089,107450399,0,125,动画,十万粉以上
3149619,有栖Mana_Official,女,6,狐之火,年度大会员,bilibili 知名UP主、直播签约主播,44,515061,4615091,25546364,80678,441,动画,十万粉以上
3312825,NutT4y,保密,5,,年度大会员,,36,7687,11288,184957,1680,38,动画,以下
3380239,神奇的老皮VFX,男,6,,年度大会员, bilibili 2019百大UP主、知名UP主,167,2456387,11309098,194921422,0,131,游戏,十万粉以上
3530604,鹤来民子X不破爱花,男,5,,无,,9,2790,6270,927842,8479,243,游戏,以下
3682229,小见见Zz,男,6,沉默了,年度大会员,bilibili 2019百大UP主、知名UP主,93,2066462,527577188,14222063,240351,997,游戏,十万粉以上
3710604,柒颗石头,男,6,,年度大会员,,168,20313,52017,629319,310,50,知识,以下
3766866,科技美学,保密,6,大家测,年度大会员,bilibili 2020百大UP主、知名UP主,264,3763764,454031031,13296095,135784,1180,科技,十万粉以上
3822341,机智的肯尼,男,6,,年度大会员,,51,105301,962238,10368205,8280,1771,游戏,十万粉以上
3842493,绕指银风,男,6,,年度大会员,bilibili 直播签约主播,217,66616,236385,6907048,18426,1226,游戏,以下
4079592,机核网,男,6,,年度大会员,机核网 官方账号,67,475791,2564035,77456175,13507745,2253,游戏,十万粉以上
4087288,Metaph0r,男,6,,年度大会员,,141,36171,10065886,11086,0,30,游戏,以下
4122589,量子焰,保密,6,,年度大会员,,17,1658,11275,74332,0,11,动画,以下
4167742,东风御天敌,保密,6,VAG,年度大会员,,603,19205,374924,5203630,13152,34,动画,以下
4247363,张小帅_很可爱,男,6,,年度大会员,,141,3818,17506,384655,0,32,游戏,以下
4408371,奇响天外,保密,6,,年度大会员,奇响天外官方账号,48,243947,1089216,13684972,0,96,动画,十万粉以上
4457705,爱吃熊猫的笋干,保密,5,,年度大会员,,513,446,2366,26056,0,9,动画,以下
4470928,酱子涯,保密,6,,年度大会员,,244,59859,266940,14494055,4327,126,游戏,以下
4515957,Eureka青,男,6,N酱,年度大会员,,392,29,69,586,0,0,,以下
4795240,电竞苦手弦墨菌,保密,5,o糖果o,年度大会员,,67,1323,0,229,0,0,,以下
4990887,思维跳跃的熊怪,男,6,,年度大会员,,405,77133,603210,5403196,37209,26,动画,以下
5041881,猿不可言,保密,5,,无,,270,8,66,3381,0,6,游戏,以下
5176500,carrrp,保密,6,,无,,25,12426,84277,2198709,2562,354,游戏,以下
5239084,极限卖萌,男,6,狗雨,无,,171,27,74,12375,0,13,游戏,以下
5317424,姑喵酱,男,6,,年度大会员,,102,87197,418960,7069350,1528,324,游戏,以下
6069555,情报马,保密,6,屿酱,大会员,,276,45656,14588520,811281,137410,1420,游戏,以下
6269848,kadercursh,保密,6,帅Pi,年度大会员,,699,37,26,1533,0,2,游戏,以下
7019628,滑音未来,保密,6,灵符fu,年度大会员,,198,80903,126438,17353644,23778,119,鬼畜,以下
7045822,威威字幕君,保密,6,胖家军,年度大会员,,319,6671,53600,1083586,13214,198,游戏,以下
7110140,DK丶howei,保密,5,芒果冰,无,,82,2,4,1,0,0,,以下
7550282,那须桃子,保密,6,大米缸,年度大会员,,133,74168,585516,808814,0,38,游戏,以下
7579640,吃瘪王66,保密,6,青光眼,年度大会员,,363,4612,26552,511262,0,110,游戏,以下
7738830,信晚-,保密,6,金鱼镜,大会员,,80,48575,153631,1033877,0,97,生活,以下
7774837,这个黑岩不太冷,保密,6,小唯伊,年度大会员,bilibili直播高能主播,117,117035,544216,6248082,84706,155,游戏,十万粉以上
7967338,羽渊碎片,保密,6,,年度大会员,,97,3870,7372,731834,136,295,音乐,以下
7972936,Koifarin,保密,6,,年度大会员,,168,53474,359060,4662214,0,33,动画,以下
8034163,浅澄月,保密,6,,年度大会员,bilibili 2019百大UP主、知名UP主、直播签约主播,255,1136139,6450402,121740329,126418,229,鬼畜,十万粉以上
8047632,哔哩哔哩弹幕网,男,6,粉丝团,十年大会员,哔哩哔哩弹幕网官方账号 ,67,3497445,153096486,44556172,9541351,71,生活,十万粉以上
8453668,命运の乐章,男,6,爱尾尾,年度大会员,bilibili 知名游戏UP主,98,151948,5281740,13558619,9773967,218,游戏,十万粉以上
8619843,茗家的鸫,保密,6,大母鹅,年度大会员,bilibili 知名UP主,303,548626,2477094,26290178,0,75,生活,十万粉以上
8645987,御风颜碧,保密,6,玉趾,无,,442,6319,188139,1499104,1381,72,动画,以下
8827857,白痴毛,男,6,魔王糖,年度大会员,bilibili 知名游戏UP主,203,395385,2567658,25058626,79828,177,游戏,十万粉以上
8903064,Tieria丶霖,女,6,棉花花,年度大会员,,236,31,25,0,950,0,,以下
8969156,小白测评,保密,6,,年度大会员,bilibili 知名科技UP主,29,2358554,13539238,241961405,41814,903,科技,十万粉以上
9135820,盐取shiotori,保密,6,,年度大会员,bilibili 知名游戏UP主,38,222728,1030170,22312138,0,188,游戏,十万粉以上
9195944,AMEKAJI航,男,6,,年度大会员,,406,27453,125830,2112480,91396,244,游戏,以下
9348436,领路人Leon,保密,6,缺大德,年度大会员,bilibili 直播高能主播,292,60845,290696,3573560,7456,128,游戏,以下
9617619,哔哩哔哩直播,保密,6,,无,哔哩哔哩直播官方账号,1547,8052083,20951765,110324544,2507908,588,游戏,十万粉以上
9824766,敬汉卿,男,6,女肥肥,年度大会员,bilibili 2020百大UP主、2019年度弹幕人气奖UP主,88,9219899,1473683199,83707014,1143956,1139,生活,十万粉以上
9838560,菊咕咕,男,6,亚可可,年度大会员,bilibili 知名游戏UP主,7,633425,2897574,66464841,0,258,游戏,十万粉以上
10043049,banyan君,女,6,,年度大会员,bilibili直播签约主播,408,343938,1722222,5698092,0,113,生活,十万粉以上
10131482,万万象无极,保密,6,魂球,无,,218,41175,602665,14645123,25565,154,游戏,以下
