uid,用户名,性别,等级,粉丝牌,大会员,认证,关注数,粉丝数,获赞数,播放数,阅读数,总投稿数,最多投稿分区,十万粉丝
49458759,乐宝Official,保密,5,云丸家,年度大会员,,55,75498,499713,191699,0,4,游戏,以下
50111839,小琨爱小蛊,女,6,小呦西,年度大会员,bilibili 知名游戏UP主,727,928980,176328278,7656221,144263,1017,游戏,十万粉以上
50329118,哔哩哔哩英雄联盟赛事,保密,6,,年度大会员,哔哩哔哩英雄联盟赛事直播官方账号,63,7839859,44322714,1261694477,28325582,3444,游戏,十万粉以上
50329220,哔哩哔哩LOL赛事直播,保密,5,,无,哔哩哔哩英雄联盟赛事直播官方帐号,57,3782085,15897426,949361,0,302,游戏,十万粉以上
54076503,句-点丶,保密,6,青栞,无,,210,7502,49766,370674,503,22,生活,以下
56748733,雪绘Yukie,保密,6,小辣酱,年度大会员,bilibili 直播高能主播,256,126769,1394424,4815265,0,224,动画,十万粉以上
59737338,351团政委怜无言,保密,5,雷滅卿,无,,257,73,2422,1126,0,9,游戏,以下
62070785,AlexxxxxOvO,保密,5,,年度大会员,,293,10,0,0,0,0,,以下
62594335,移动端音游搬运小队,保密,6,,无,,402,99216,1555083,32671773,30614,8228,游戏,以下
66391032,帅soserious,男,6,,年度大会员,bilibili 知名运动UP主,59,1934718,4068070,82248719,0,121,运动,十万粉以上
70627368,灰色的晴日,保密,5,汪汪狼,无,,630,7,1,54,0,1,游戏,以下
72479257,Jando凌梅,保密,5,,无,,34,7439,55077,475503,0,7,动画,以下
80387576,织田信姬official,保密,6,玉金s,无,,195,138935,2834915,9960498,275349,313,动画,十万粉以上
92873156,Autims丶千雪,保密,5,NYATV,无,,337,44,475,19983,102,61,游戏,以下
95794048,萌萌哒指挥官,女,5,,年度大会员,,105,16,6048,38,85,1,游戏,以下
102176172,地下城与勇士,保密,6,,年度大会员,地下城与勇士官方账号,202,616236,41228765,2740486,2289310,647,游戏,十万粉以上
102359102,xxxYSXxxx,女,6,嘉心糖,年度大会员,bilibili 直播高能主播,227,248790,922095,15866630,592646,170,游戏,十万粉以上
102734471,AutoFull傲风电竞椅,保密,5,,年度大会员,AutoFull傲风电竞椅,901,123321,2917082,584931,15411,200,游戏,十万粉以上
107486042,花二Strange,女,6,新西方,年度大会员,bilibili 知名美食UP主,177,1104780,141106290,11107280,0,259,美食,十万粉以上
121225592,TOM表哥,男,6,表哥,年度大会员,bilibili 知名UP主,74,1588365,7073927,104371021,264747,21,生活,十万粉以上
125086406,MSI微星显卡官方账号,保密,5,NFans,年度大会员,微星科技官方账号,226,334799,1907928,684451,249916,188,科技,十万粉以上
127127108,Yoko今天也优哉游哉,保密,5,,无,,303,6662,45296,714702,0,69,动画,以下
140288097,ETM天空偶像频道,保密,6,,无,成都活力时代文化传播有限公司,7,15964,58743,2635264,0,146,娱乐,以下
152254793,FunInCode,男,6,,年度大会员,知识领域优质UP主,28,66529,60249,3730351,19328,104,知识,以下
161775300,明日方舟,保密,6,,年度大会员,明日方舟官方账号,2,3998324,35589052,240867598,11658296,141,游戏,十万粉以上
164094818,BlenderCN发布点,男,5,,无,,75,32959,29138,361694,2354,119,知识,以下
174501086,哔哩哔哩会员购,保密,6,最美的,十年大会员,哔哩哔哩会员购 官方账号,167,6059551,11755460,29999715,46580886,191,动画,十万粉以上
174564264,脉动驻小破站办事处,男,5,,年度大会员,脉动官方账号,78,59495,1532396,138122,0,55,娱乐,以下
178778949,英雄联盟,女,6,,年度大会员,英雄联盟官方账号,241,2487699,576481713,24866830,3402708,3101,游戏,十万粉以上
196356191,翔翔大作战,保密,6,,无,bilibili 2019百大UP主、知名UP主,76,4230191,979119539,32580862,0,452,美食,十万粉以上
205429635,美商海盗船CORSAIR,保密,4,,大会员,美商海盗船官方账号,445,51156,227689,420678,6005,130,科技,以下
225347042,九重紫Official,保密,6,,年度大会员,bilibili 直播签约主播,45,117833,1268582,3937861,31731,79,动画,十万粉以上
234544955,MUDON-木东,男,6,,无,,869,72624,251713,4045257,3324,488,生活,以下
235555226,哔哩哔哩UP主执事,保密,6,,十年大会员,哔哩哔哩UP主运营官方账号,445,1333514,77855723,5403563,4503589,229,娱乐,十万粉以上
250508441,淘宝,保密,6,,无,淘宝官方帐号,65,215844,18809081,1578405,0,102,生活,十万粉以上
251134371,春卷饭harumakigohan,保密,6,,无,,19,164773,591640,7368053,0,25,音乐,十万粉以上
254463269,毕导THU,男,6,二年级,年度大会员,bilibili 2020百大UP主、知名UP主,185,4519300,19303432,149525894,1294122,124,知识,十万粉以上
256879087,繁星往曦,保密,2,,无,,17,520,87,2364,0,3,游戏,以下
261204193,小AAA酱,女,6,,年度大会员,,124,82010,177523,3381930,3291,316,知识,以下
270105105,赖皮猴爱美食,保密,6,,年度大会员,bilibili 知名美食UP主,104,1513660,72807890,5908191,0,126,美食,十万粉以上
271442527,CD_PROJEKT_RED,保密,6,,无,"CD PROJEKT RED官方视频帐号, 《巫师》系列游戏出品商",54,924036,41058567,3038227,1238252,180,游戏,十万粉以上
275338136,肯德基,保密,4,,无,肯德基官方账号,0,139751,977827,39110,0,126,生活,十万粉以上
281774954,疾梦猎团,保密,6,,年度大会员,bilibili 直播签约主播,155,71439,163954,5215203,145905,257,游戏,以下
283792072,搬砖的迪迪,男,6,天气晴,年度大会员,bilibili 知名游戏UP主,38,204793,16092389,650313,0,185,游戏,十万粉以上
295711424,神秘店长A,男,6,宠猫,年度大会员,bilibili 2019百大UP主,321,2132151,6350686,159513418,0,109,游戏,十万粉以上
299609985,FPX电子竞技俱乐部,保密,6,,年度大会员,FPX电子竞技俱乐部官方账号,97,735637,89979258,7890581,0,296,游戏,十万粉以上
320840078,官方认证姬,保密,4,,无,哔哩哔哩官方认证,10,50958,2152,0,224268,0,,以下
321173469,哔哩哔哩大会员,男,6,,十年大会员,哔哩哔哩大会员官方账号,74,19014225,2734265,4792567,2165398,18,生活,十万粉以上
326499679,哔哩哔哩漫画,女,6,,无,哔哩哔哩漫画官方账号,76,33130928,33429301,147886982,7807009,1418,动画,十万粉以上
326675739,基础人体资源库,男,6,,年度大会员,bilibili 知名动漫UP主,5,494643,284081,6264950,9597,245,生活,十万粉以上
328303954,澤野弘之_nZk,保密,6,,无,泽野弘之官方账号,1,1353019,1206855,13665552,0,39,音乐,十万粉以上
329360018,布鲁Sir_,男,6,,年度大会员,bilibili 知名游戏UP主、直播签约主播,133,580679,39906112,2703635,1089,107,游戏,十万粉以上
330415548,谭乔,保密,6,,无,成都《谭谈交通》主持人,25,2522327,246755374,15155643,0,289,资讯,十万粉以上
334561994,在下李灿,男,6,恰饭橘,年度大会员,bilibili 知名美食UP主,60,758128,120983469,11410282,58613,301,美食,十万粉以上
338748561,喵喵折App,保密,6,,年度大会员,喵喵折App官方账号,44,1498495,3927932,66477251,1471261,102,科技,十万粉以上
338927049,燕子堡BBQ学徒Ray,男,6,,年度大会员,bilibili 知名美食UP主,206,1578198,98706245,9011797,118901,147,美食,十万粉以上
341491537,强击瓶大剑,保密,6,疾梦,年度大会员,bilibili 直播高能主播,233,60481,209393,3628443,4049,163,游戏,以下
342010254,空い火,保密,5,粉丝团,无,,2,8875,59106,1776369,540,42,动画,以下
342039238,イラストメイキング,保密,5,,无,,46,49890,170298,2007153,0,701,生活,以下
348630592,十分绘画,保密,6,爱乙人,年度大会员,bilibili 知名UP主,171,829597,35069313,3093538,14201,156,生活,十万粉以上
351609538,珈乐Carol,保密,6,嘉心糖,年度大会员,虚拟偶像团体A-SOUL 所属艺人,7,343206,9397760,1785684,0,43,音乐,十万粉以上
351899011,联想拯救者官方,保密,6,,年度大会员,联想(北京)有限公司,665,1035307,4830213,17035636,675150,274,科技,十万粉以上
353240497,雀魂麻将majsoul,女,6,,年度大会员,bilibili 知名游戏UP主,105,215155,1042486,18925570,11061,177,游戏,十万粉以上
353840826,公主连结ReDive,保密,6,,年度大会员,公主连结ReDive手游官方账号,3,2174323,52011452,9749980,3591264,155,游戏,十万粉以上
358580151,亮亮家的零碎记录,保密,6,,无,,3,159634,997441,13911416,0,31,动物圈,十万粉以上
366511662,游戏王决斗链接,保密,5,,无,游戏王：决斗链接手游官方账号,2,817216,729352,5648849,719818,31,游戏,十万粉以上
372984197,夢乃栞Yumeno_Shiori,女,6,雪姫民,年度大会员,bilibili直播签约主播,51,240527,2790488,8505787,113460,287,动画,十万粉以上
378065261,_不破愛花_,保密,5,,无,,132,128,1881,32522,1741,119,游戏,以下
382823022,篝火营地视频,保密,6,,年度大会员,,75,173097,1969340,63978329,3278862,1749,游戏,十万粉以上
382846783,ChicChili西可西丽,保密,5,,无,ETM活力时代旗下女子演唱组合,3,23045,30158,954860,0,38,娱乐,以下
383020204,扑街游戏厅,保密,6,,年度大会员,bilibili 知名游戏UP主,306,122766,510087,9938633,50414,99,游戏,十万粉以上
383768376,ROG玩家国度,保密,6,脆鲨,年度大会员,华硕电脑官方账号,313,287365,1444377,5316092,121459,238,科技,十万粉以上
384298638,浙江共青团,保密,6,,年度大会员,浙江共青团官方账号,59,1128933,30623438,672410476,2307144,1174,资讯,十万粉以上
386834521,抽奖社,保密,3,,无,,7,2770,15529,2376,0,15,游戏,以下
386900246,神楽七奈Official,女,6,,年度大会员,bilibili 知名UP主,91,1827907,58386440,11953756,2210624,120,动画,十万粉以上
388742853,PlayStation,女,6,我看行,年度大会员,PlayStation官方账号,106,514323,2114758,24547344,256494,484,游戏,十万粉以上
392204977,听ヲ一言,保密,5,栖姬,年度大会员,,5,13937,37275,816073,1120,31,游戏,以下
398582841,莫得梦想的萌新,保密,2,,无,,4,3,157,6,0,1,游戏,以下
401742377,原神,保密,6,,年度大会员,原神官方账号,52,7585270,37704773,359612000,31197183,132,游戏,十万粉以上
404145357,韵律源点Arcaea,保密,6,,年度大会员,,0,81618,435601,2113792,74522,12,游戏,以下
405247284,起点读书-点娘,女,6,,年度大会员,起点读书官方账号,226,92762,3909567,768993,268178,192,国创,以下
410197001,xiao-high,保密,5,妍粒儿,年度大会员,知识领域优质UP主,254,8634,13682,281692,0,36,科技,以下
411913934,堕天稚悠爱Official,保密,5,,无,,27,34104,161724,852814,0,65,动画,以下
415890389,高坂大芥末,保密,6,由美子,年度大会员,bilibili 知名游戏UP主,294,158716,31832483,2209922,28899,74,游戏,十万粉以上
419058522,裹小脚的大叔,男,6,,无,bilibili 知名UP主,36,523790,1089029,13273438,21488,39,知识,十万粉以上
424090305,酸奶木瓜,保密,6,,年度大会员,,327,75465,13010123,1073704,0,22,鬼畜,以下
428112437,腾讯招聘,保密,5,,年度大会员,腾讯招聘官方账号,184,79937,1275207,104151,0,99,知识,以下
430363597,OPPO智美生活,保密,5,有欧气,年度大会员,OPPO声学官方账号,188,102793,2499438,327973,0,145,科技,十万粉以上
434563934,叶Official,保密,6,,年度大会员,日本虚拟UP主、bilibili直播高能主播,51,223215,2035180,20415321,0,547,游戏,十万粉以上
434967398,哔哩哔哩直播姬,保密,6,,年度大会员,哔哩哔哩主播运营官方账号,1263,943758,14975237,1957980,46173,327,音乐,十万粉以上
440593677,新东方烤肉字幕组,保密,6,,无,,65,23132,182316,1503381,0,166,动画,以下
446496823,Sextet,男,5,,无,,6,12540,29493,601411,2565,66,知识,以下
448947071,求知讲堂,保密,6,,无,求知讲堂官方账号,0,135628,111953,4398902,201413,7,科技,十万粉以上
450025896,设计原来如此,保密,6,,年度大会员,bilibili 知名UP主,6,160161,138199,3013299,9035,62,知识,十万粉以上
451066708,新科动漫Channel,女,6,粉丝团,年度大会员,bilibili 知名动漫UP主、直播签约主播,23,612244,3823974,14780914,391996,115,动画,十万粉以上
471130755,华硕天选官方UP,保密,5,,年度大会员,华硕天选官方账号,180,134517,478838,3082251,44680,110,动画,十万粉以上
473099203,DD情报局,保密,6,,年度大会员,专栏优质UP主,2000,96328,2448942,3451215,352574,60,动画,以下
473222648,超绝可爱激大励,保密,3,,无,创作激励计划官方账号,1,151856,0,5982,149281,1,游戏,十万粉以上
473519710,steam情报局,女,6,iRuo,无,bilibili 新星UP主,57,1312315,81689039,7867191,0,551,游戏,十万粉以上
473656532,应用宝,保密,5,,无,腾讯应用宝官方账号,199,59667,373756,254442,0,73,生活,以下
477531206,阿特警官,男,6,,年度大会员,bilibili 知名UP主,11,2232557,8701603,162338235,0,193,资讯,十万粉以上
480410850,宝石幻想光芒重现手游,保密,3,氪长,无,宝石幻想：光芒重现手游官方账号,3,220378,72892,947233,15134,29,游戏,十万粉以上
481429887,三星盖乐世手机,保密,6,,年度大会员,三星盖乐世官方账号,78,182609,4655856,439520,63850,310,科技,十万粉以上
484322035,AIChannel中国绊爱,保密,6,,年度大会员,中国绊爱官方账号,39,651196,28129344,4035411,19199,241,动画,十万粉以上
485886536,日落丶丶tt,女,5,,无,,8,9719,28798,457667,767,80,生活,以下
486788855,挺牛啊TNA速通会,保密,4,,无,,62,9958,24837,268998,3647,121,游戏,以下
488951310,网易UU加速器官方,保密,4,皮格,无,网易UU加速器官方账号,61,18740,34605,487997,0,60,游戏,以下
489412051,哔哩哔哩晚会,保密,6,,无,哔哩哔哩晚会官方账号,21,5159316,364099333,7361836,116042,287,娱乐,十万粉以上
492777646,真果粒官方,保密,5,少北,年度大会员,真果粒官方账号,207,88870,1223555,250171,2296,41,动画,以下
495535252,UP主招财喵,保密,4,,无,UP主商业服务官方账号,11,46632,12685,12169,38937,1,生活,以下
503120652,夏明Official,女,5,菈力器,年度大会员,,338,13946,56705,134786,1871,83,游戏,以下
508963009,HiiroVTuber,保密,6,,年度大会员,bilibili 直播高能主播,83,756189,9109244,25713179,121947,86,动画,十万粉以上
513722566,汪品先院士,保密,6,,大会员,中国科学院院士,4,1179518,19858221,2482964,0,17,知识,十万粉以上
515339598,三文鱼稀饭字幕组,保密,6,王牛奶,年度大会员,bilibili 知名UP主,6,223416,2013044,24481980,98693,468,动画,十万粉以上
518876755,Steam官方特惠,保密,6,,年度大会员,,0,1795159,2606370,57203701,45771,342,游戏,十万粉以上
519200091,游戏王卡片游戏,保密,5,,年度大会员,游戏王卡片游戏官方账号,0,61565,120806,1161789,271336,25,游戏,以下
531838402,游戏叉叉兵,保密,5,,无,,39,11744,16880,374731,0,22,知识,以下
536408778,滴滴,保密,6,粉丝团,年度大会员,滴滴官方账号,316,820923,5652634,689654,21866,61,生活,十万粉以上
543382164,花呗,保密,5,,无,花呗官方账号,136,178007,1221062,295436,0,22,生活,十万粉以上
588278127,田野上的繁荣,保密,6,刚盒盒,年度大会员,bilibili 知名Vlog UP主,9,1899404,328844561,17517467,0,379,美食,十万粉以上
598722169,時計修理,男,5,,无,,12,15721,104620,2320612,0,154,动画,以下
611659907,BengaleeHS,保密,5,,无,,7,12973,63055,873968,0,64,游戏,以下
630390128,御宅计划OTAKU_Plan,保密,3,,无,,24,4006,7568,50724,469,14,游戏,以下
642389251,黑神话之悟空,保密,6,,无,黑神话之悟空官方账号,5,2167658,68440111,5949060,0,3,游戏,十万粉以上
646730844,雷军,保密,6,米粉,无,小米集团创始人 董事长兼CEO,13,1203162,19377601,1662132,110100,18,生活,十万粉以上
669462270,寅子,保密,6,,无,游戏主播寅子,17,536064,55169852,2032669,0,570,游戏,十万粉以上
672342685,乃琳Queen,保密,6,顶碗人,年度大会员,虚拟偶像团体A-SOUL 所属艺人,8,420611,9205262,2102507,0,83,音乐,十万粉以上
672346917,向晚大魔王,保密,6,,年度大会员,虚拟偶像团体A-SOUL 所属艺人,7,373644,14536204,2507740,0,97,动画,十万粉以上
672353429,贝拉kira,保密,6,嘉心糖,年度大会员,虚拟偶像团体A-SOUL 所属艺人,8,386120,11956904,2165656,0,96,动画,十万粉以上
674228183,karory,保密,4,,年度大会员,,9,21071,67292,91765,7166,19,动画,以下
674522490,BOSE中国,保密,3,,无,BOSE中国官方账号,0,98837,127454,3466,0,24,科技,以下
677744233,菜菜姐莎疯了,女,6,真菜呀,年度大会员,bilibili 直播高能主播,148,455557,1683323,44062194,39095,101,游戏,十万粉以上
697654195,少前2-追放制作组,保密,6,,年度大会员,少前2：追放 手游官方账号,5,380714,357651,4130488,94546,16,游戏,十万粉以上
698308535,尾丸波尔卡马戏团,保密,4,,无,,50,20914,307902,604667,0,137,动画,以下
703007996,A-SOUL_Official,保密,6,,年度大会员,虚拟偶像团体A-SOUL,10,258170,9109254,1667422,3548297,40,动画,十万粉以上
1218286288,内幕纠察局,男,6,,无,bilibili 知名UP主,24,542848,1293795,21399070,0,8,知识,十万粉以上
1229398058,Blender开源字幕组,保密,4,,无,,4,11033,11987,218319,0,125,知识,以下
1434447988,动物朋友王国,保密,3,,无,动物朋友：王国 手游官方账号,4,52245,416517,29556,32855,7,游戏,以下
1472906636,ywwuyi,男,5,小话唠,无,bilibili 直播高能主播,186,175445,1118536,271413,0,9,游戏,十万粉以上
1555246562,仲景食品,男,3,刚盒盒,年度大会员,仲景食品股份有限公司官方账号,93,9609,55333,14158,0,25,生活,以下
1768771255,牧场小老板,保密,5,,年度大会员,,27,18235,120984,1727693,0,72,动物圈,以下
1868902080,哔哩哔哩拜年纪,保密,6,,无,哔哩哔哩拜年纪官方账号,21,4222908,7396358,214884579,0,33,动画,十万粉以上
1883857209,来自星尘,保密,2,,年度大会员,来自星尘 手游官方账号,2,331160,111934,2144883,0,1,游戏,十万粉以上
2026561407,吃花椒的喵酱,保密,6,,年度大会员,媒体人王冰冰,10,4827489,11523867,95078202,0,13,生活,十万粉以上
2138676495,申䒕雅_小雅Official,保密,6,,年度大会员,bilibili 直播签约主播,263,70179,3670201,675050,0,130,动画,以下
